Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
Godfall,Action role-playing,Counterplay Games,Gearbox Publishing,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Untitled God of War sequel,"Action-adventure
hack and slash",SIE Santa Monica Studio,Sony Interactive Entertainment,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Goonya Fighter: Purupuru Shokkan Edition,"Fighting
party",Mutan,Mutan,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,[8]
Goodbye Volcano High,Adventure,KO_OP,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Gotham Knights,Action-adventure,WB Games Montréal,WB Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Gothic Remake,Action role-playing,THQ Nordic Barcelona,THQ Nordic,TBA,TBA,TBA,,
Gran Turismo 7,"Racing
simulation",Polyphony Digital,Sony Interactive Entertainment,"<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021","<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021","<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021",,
Grand Theft Auto V,Action-adventure,Rockstar North,Rockstar Games,"<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021","<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021","<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021",,
Grand Theft Auto Online,Action-adventure,Rockstar North,Rockstar Games,"<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021","<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021","<span data-sort-value=""000000002021-09-32-0000"">Q3/Q4 2021",,
Graven,"Action-adventure
first-person shooter",Slipgate Ironworks,"3D Realms
1C Entertainment","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
